ID,Title,Year,Age,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,Genre,Country,Language,IMDb,IMDb_ID,RottenTomatoes_Score,Age_Min,IMDb_Score,Type_raw,Genre_clean,Title_key
1,The Irishman,2019,18+,98/100,1,0,0,0,movie,"Biography, Crime, Drama",United States,"English, Italian, Latin, Spanish, German",7.8,tt1302006,98.0,18.0,7.8,0,"Biography, Crime, Drama",the irishman
2,Dangal,2016,7+,97/100,1,0,0,0,movie,"Action, Biography, Drama","India, United States","Hindi, English",8.3,tt5074352,97.0,7.0,8.3,0,"Action, Biography, Drama",dangal
3,David Attenborough: A Life on Our Planet,2020,7+,95/100,1,0,0,0,movie,"Documentary, Biography",United Kingdom,English,8.9,tt11989890,95.0,7.0,8.9,0,"Documentary, Biography",david attenborough: a life on our planet
4,Lagaan: Once Upon a Time in India,2001,7+,94/100,1,0,0,0,movie,"Drama, Musical, Sport","India, United States","Hindi, English",8.1,tt0169102,94.0,7.0,8.1,0,"Drama, Musical, Sport",lagaan: once upon a time in india
5,Roma,2018,18+,94/100,1,0,0,0,movie,Drama,"Mexico, United States","Spanish, Mixtec, English, Japanese, German, French, Norwegian",7.6,tt6155172,94.0,18.0,7.6,0,Drama,roma
6,To All the Boys I've Loved Before,2018,13+,94/100,1,0,0,0,movie,"Comedy, Drama, Romance",United States,English,7.0,tt3846674,94.0,13.0,7.0,0,"Comedy, Drama, Romance",to all the boys i've loved before
7,The Social Dilemma,2020,13+,93/100,1,0,0,0,movie,"Documentary, Drama",United States,English,7.6,tt11464826,93.0,13.0,7.6,0,"Documentary, Drama",the social dilemma
8,Okja,2017,13+,92/100,1,0,0,0,movie,"Action, Adventure, Drama","South Korea, United States","English, Korean, Spanish",7.3,tt3967856,92.0,13.0,7.3,0,"Action, Adventure, Drama",okja
9,The Ballad of Buster Scruggs,2018,16+,92/100,1,0,0,0,movie,"Comedy, Drama, Musical",United States,"English, French",7.2,tt6412452,92.0,16.0,7.2,0,"Comedy, Drama, Musical",the ballad of buster scruggs
10,The Trial of the Chicago 7,2020,18+,92/100,1,0,0,0,movie,"Drama, History, Thriller","United Kingdom, India, United States","English, Latin, French",7.7,tt1070874,92.0,18.0,7.7,0,"Drama, History, Thriller",the trial of the chicago 7
11,Article 15,2019,18+,92/100,1,0,0,0,movie,"Crime, Drama, Mystery",India,Hindi,8.1,tt10324144,92.0,18.0,8.1,0,"Crime, Drama, Mystery",article 15
12,"Jim & Andy: The Great Beyond- Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",2017,18+,92/100,1,0,0,0,movie,drama film,United States,English,7.0,tt0245844,92.0,18.0,7.0,0,Drama Film,"jim & andy: the great beyond- featuring a very special, contractually obligated mention of tony clifton"
13,Dolemite Is My Name,2019,18+,92/100,1,0,0,0,movie,"Biography, Comedy, Drama",United States,English,7.2,tt8526872,92.0,18.0,7.2,0,"Biography, Comedy, Drama",dolemite is my name
14,Mudbound,2017,18+,91/100,1,0,0,0,movie,"Drama, War",United States,English,7.4,tt2396589,91.0,18.0,7.4,0,"Drama, War",mudbound
15,Swades,2004,all,91/100,1,0,0,0,movie,"Drama, Musical","India, United States","Hindi, English",8.2,tt0367110,91.0,16.0,8.2,0,"Drama, Musical",swades
16,Fyre,2019,18+,91/100,1,0,0,0,movie,"Documentary, Crime, Music",United States,English,7.2,tt9412098,91.0,18.0,7.2,0,"Documentary, Crime, Music",fyre
